text,created_at
Hey friends It's #ItsElectionDay let's get something done #vote #Hillary &amp; #Dem #straight d OK em the #Senate we can't #Cong but we can #Sen,2016-11-08 10:20:42
Which Candidate Will Help Us Pass Mental Health Reform @RepTimMurphy?Who Has YOUR Vote?@NAMICommunicate… https://t.co/LZi9dsdLvA,2016-11-08 10:22:53
Let's change the #Senate #Dem &amp; get #Hillary in the #WH lets get something done #FosterCampbellForLouisiana https://t.co/8PGSbXATUM,2016-11-08 10:24:13
#Senate Charles Schumer faces challenge from little-known lawyer https://t.co/hlQNXuZOxj SenSchumer NTA•NEWS,2016-11-08 10:26:10
@TGowdySC @JasonChaffetz @realDonaldTrump #RedNationRising #DNCleak2 #hillaryforprison #WorldPeace #Senate… https://t.co/e60iloDJVd,2016-11-08 10:27:36
#Senate bemoans forex loss over EU ban on #beans export https://t.co/3tJxA8nwLi #nigeria #europe #europeanunion,2016-11-08 10:28:08
#ImVotingBecause Our Seriously Mentally Ill Are Dying For Lack Of Hospitals &amp; Care! Make Sure YOUR Senator Votes To… https://t.co/8GwU2vCUBO,2016-11-08 10:30:53
US POLITICS &amp; POLICIES is out! https://t.co/sgbPvdpqsh #usa #senate,2016-11-08 10:39:41
#senate sex scandal 17yr porn https://t.co/dQRd9vV90i,2016-11-08 10:41:31
HuffPost predicts #Democrats will gain control of the #Senate based on majority (66%) of simulations. https://t.co/8mjf60fM3N #Election2016,2016-11-08 10:42:44
#Senate Ohio Senate Projection: Republican Rob Portman To Win In A Landslide https://t.co/Kyp0IU5BCP @SenRobPortman,2016-11-08 10:43:07
#Senate Rob Portman: 5 Fast Facts You Need to Know https://t.co/zoUZuk5BlW @SenRobPortman,2016-11-08 10:43:08
#Senate Portman tries to keep Ohio US Senate seat on Republican side https://t.co/6ccwxjZ3WD @SenRobPortman,2016-11-08 10:43:08
HuffPost Forecasts Hillary Clinton Will Win With 323 Electoral Votes #Senate https://t.co/c1Ct9jKwnd https://t.co/DiPCUcjf2u,2016-11-08 10:49:21
"#WakeUpAmerica,#Trump2016,#Veterans,#Hialeah,#Miami,#Debate,#Senate,#flsen,#tcot,#MAGA,#Sputnik,#NYT,#CNN,#Cuba,… https://t.co/FEdQfP1AJu",2016-11-08 10:52:21
#Senate Ohio Senate Projection: Republican Rob Portman To Win In A Landslide https://t.co/ptSLg4hf8m SenRobPortman NTA•NEWS,2016-11-08 10:56:12
